Input Term,Best Match,URI,Similarity Score
abdominal,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,0.9099
abdominal abscess,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.6408
abdominala cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.967
abdominal air sac,abdominal air sac,http://purl.obolibrary.org/obo/UBERON_0009067,1
abdominal air sacs,abdominal air sac,http://purl.obolibrary.org/obo/UBERON_0009067,0.96
abdominal and pleural cavities,pleural cavity,http://purl.obolibrary.org/obo/UBERON_0002402,0.7962
abdominal blood vessels,abdomen blood vessel,http://purl.obolibrary.org/obo/UBERON_0003497,0.8947
abdominal body wall cyst,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.6585
abdominal branch,abdominal segment of trunk,http://purl.obolibrary.org/obo/UBERON_0002417,0.6676
abdominal cavities,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.843
abdominal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,matched
abdominal cavity cyst,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.7389
abdominal cav (subcutaneous),abdominal viscera,http://purl.obolibrary.org/obo/UBERON_0017672,0.5799
abdominal fascia,abdominal fascia,http://purl.obolibrary.org/obo/UBERON_0013493,1
abdominal granuloma,granulocyte,http://purl.obolibrary.org/obo/CL_0000094,0.7015
abdominal lymph node,abdominal lymph node,http://purl.obolibrary.org/obo/UBERON_0002507,1
abdominal mesenteries,mesentery of stomach,http://purl.obolibrary.org/obo/UBERON_0003281,0.7529
abdominal mesentery,mesentery of stomach,http://purl.obolibrary.org/obo/UBERON_0003281,0.8459
abdominal musc,abdomen musculature,http://purl.obolibrary.org/obo/UBERON_0002343,0.6888
abdominal muscle,muscle of abdomen,http://purl.obolibrary.org/obo/UBERON_0002378,0.9188
abdominal muscles,muscle of abdomen,http://purl.obolibrary.org/obo/UBERON_0002378,0.8788
abdominal skin,skin of abdomen,http://purl.obolibrary.org/obo/UBERON_0001416,0.926
abdominal sternum lt iii,sternum,http://purl.obolibrary.org/obo/UBERON_0000975,0.7102
abdominal & thoracic cavities,thoracic cavity,http://purl.obolibrary.org/obo/UBERON_0002224,0.802
abdominal thoracic cavities,thoracic cavity,http://purl.obolibrary.org/obo/UBERON_0002224,0.8175
abdominal & thoracic wall,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.815
abdominal viscera,abdominal viscera,http://purl.obolibrary.org/obo/UBERON_0017672,1
abdominal wall,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,1
abdominal wall abscess,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.7573
abdominal walls,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.9429
abo1,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358,matched
abo,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358,matched
abomasal wall,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358,
abomasum,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358,matched
abo mucosa,inner lining mucosa of the abomasum,http://purl.obolibrary.org/obo/UBERON_0010154,
abo & small int,integrin alpha-IIb,http://purl.obolibrary.org/obo/PR_000009127,0.4845
above cerebellum of brain,anterior lobe of cerebellum,http://purl.obolibrary.org/obo/UBERON_0002131,0.8074
abscess on keel,keel,http://purl.obolibrary.org/obo/UBERON_0018307,0.51
acc. kidney,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.7351
adductor muscle,adductor muscle,http://purl.obolibrary.org/obo/UBERON_0011145,1
adipose tissue,adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,1
adipose tissue coelomic cavity,adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,0.7438
adipose tissue (encapsulated),adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,0.8861
adrenal gland,adrenal gland,http://purl.obolibrary.org/obo/UBERON_0002369,1
adrenals,adrenal gland,http://purl.obolibrary.org/obo/UBERON_0002369,0.7846
AEO_0000172 leg,leg,http://purl.obolibrary.org/obo/UBERON_0000978,0.5455
AEO_0000186 body cavity,anatomical cavity,http://purl.obolibrary.org/obo/UBERON_0002553,0.7054
air bladder (external),external urethral sphincter,http://purl.obolibrary.org/obo/UBERON_0004919,0.6022
air bladder,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255,0.6711
air passages of lung,air in respiratory system,http://purl.obolibrary.org/obo/UBERON_0034874,0.7615
air sac,air sac,http://purl.obolibrary.org/obo/UBERON_0009060,1
air sacs,air sac,http://purl.obolibrary.org/obo/UBERON_0009060,0.9184
air sac(s),air sac,http://purl.obolibrary.org/obo/UBERON_0009060,0.9229
air sacs (lung),anterior air sac,http://purl.obolibrary.org/obo/UBERON_0009061,0.7835
air sac wall,air sac,http://purl.obolibrary.org/obo/UBERON_0009060,0.8206
air sinus,nasal air sac,http://purl.obolibrary.org/obo/UBERON_0013175,0.7154
air space near kidney,air in respiratory system,http://purl.obolibrary.org/obo/UBERON_0034874,0.5795
alaveoli,Alveolata,http://purl.obolibrary.org/obo/NCBITaxon_33630,0.6544
albumin of egg,shelled egg,http://purl.obolibrary.org/obo/UBERON_0007379,0.6365
alimentary canal,canal,http://purl.obolibrary.org/obo/PO_0025132,0.8526
alimentary canal washings,canal,http://purl.obolibrary.org/obo/PO_0025132,0.6907
alimentary tract,digestive tract,http://purl.obolibrary.org/obo/UBERON_0001555,0.6905
allantoic fluid,allantois,http://purl.obolibrary.org/obo/UBERON_0004340,matched
all muscles,muscle structure,http://purl.obolibrary.org/obo/UBERON_0005090,0.7153
all organs,organ,http://purl.obolibrary.org/obo/UBERON_0000062,0.7309
all over plastron,plastron,http://purl.obolibrary.org/obo/UBERON_0008276,0.9046
all tissues,tissue,http://purl.obolibrary.org/obo/UBERON_0000479,0.7832
along gill arch #3,pharyngeal arch derived gill,http://purl.obolibrary.org/obo/UBERON_0011150,0.6805
along gi tract,pineal tract,http://purl.obolibrary.org/obo/UBERON_0034715,0.6686
along lines,lateral line,http://purl.obolibrary.org/obo/UBERON_0010202,0.5731
along lung near air sac,anterior thoracic air sac,http://purl.obolibrary.org/obo/UBERON_0009065,0.689
alveoli,Alveolata,http://purl.obolibrary.org/obo/NCBITaxon_33630,0.7974
alveoli (caudal lobes lungs),alveolus of lung,http://purl.obolibrary.org/obo/UBERON_0002299,0.7804
alveoli (rt lung,alveolus of lung,http://purl.obolibrary.org/obo/UBERON_0002299,0.8224
among teeth (encapsulated),set of upper jaw teeth,http://purl.obolibrary.org/obo/UBERON_0009680,0.6428
anal,anal tooth,http://purl.obolibrary.org/obo/UBERON_0012468,0.7711
anal fin,anal fin,http://purl.obolibrary.org/obo/UBERON_4000163,1
anal fins,anal fin,http://purl.obolibrary.org/obo/UBERON_4000163,0.8105
anal glands,gland of anal canal,http://purl.obolibrary.org/obo/UBERON_0004760,0.8416
anal opening,anal canal,http://purl.obolibrary.org/obo/UBERON_0000159,0.7224
anal region,anal region,http://purl.obolibrary.org/obo/UBERON_0001353,1
anal scrapings,anal fold,http://purl.obolibrary.org/obo/UBERON_0012293,0.5562
aneurism,pleural effusion,http://purl.obolibrary.org/obo/UBERON_0000175,0.6256
aneurisms,pleural effusion,http://purl.obolibrary.org/obo/UBERON_0000175,0.6251
animal tissues,tissue,http://purl.obolibrary.org/obo/UBERON_0000479,0.7887
ankle,ankle joint,http://purl.obolibrary.org/obo/UBERON_0001488,0.8031
ankle region,ankle joint,http://purl.obolibrary.org/obo/UBERON_0001488,0.7004
anntennary gland,infralabial gland,http://purl.obolibrary.org/obo/UBERON_0010050,0.6234
annurism,annulene,http://purl.obolibrary.org/obo/CHEBI_33662,0.6456
ansa quarlesii,ansa cervicalis,http://purl.obolibrary.org/obo/UBERON_0005430,0.641
ant chamber eye,chamber of eyeball,http://purl.obolibrary.org/obo/UBERON_0006311,0.7042
antenna,antenna,http://purl.obolibrary.org/obo/UBERON_0000972,matched
antennae,antenna,http://purl.obolibrary.org/obo/UBERON_0000972,0.872
antennal gland,antennal gland,http://purl.obolibrary.org/obo/UBERON_0009963,1
antennal glands,antennal gland,http://purl.obolibrary.org/obo/UBERON_0009963,matched
antennary gland,antennal gland,http://purl.obolibrary.org/obo/UBERON_0009963,0.9655
anterior &,anterior to,http://purl.obolibrary.org/obo/PATO_0001632,0.8922
anterior chamber,anterior chamber epithelium,http://purl.obolibrary.org/obo/UBERON_0005638,0.7941
anterior chamber - eye,anterior chamber of eyeball,http://purl.obolibrary.org/obo/UBERON_0001766,0.9192
anterior intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8121
anterior intestine only,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7426
anterior side rt pectoral fin,pectoral fin spine,http://purl.obolibrary.org/obo/UBERON_2001787,0.7352
anterior to lieblein gland,anterior buccal gland,http://purl.obolibrary.org/obo/UBERON_0010242,0.6317
ant intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7775
ant. intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7961
ant sm intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7037
ant. uterus,uterus,http://purl.obolibrary.org/obo/UBERON_0000995,0.7295
anus,anus,http://purl.obolibrary.org/obo/UBERON_0001245,1
aorta,aorta,http://purl.obolibrary.org/obo/UBERON_0000947,1
aorta wall,aorta wall,http://purl.obolibrary.org/obo/UBERON_0004663,1
aortic tumors,aortic body,http://purl.obolibrary.org/obo/UBERON_0034971,0.7157
a pair in each stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,0.6234
appendix,wall of appendix,http://purl.obolibrary.org/obo/UBERON_0036337,0.7798
Aral,aril,http://purl.obolibrary.org/obo/PO_0009090,0.7435
archinephric duct,nephric duct,http://purl.obolibrary.org/obo/UBERON_0009201,0.7792
arm,arm,http://purl.obolibrary.org/obo/UBERON_0001460,1
arm junction,arm,http://purl.obolibrary.org/obo/UBERON_0001460,0.666
arm muscle,muscle of arm,http://purl.obolibrary.org/obo/UBERON_0001499,0.9437
"""arm pits"" of wahoo",hair of limb,http://purl.obolibrary.org/obo/UBERON_0037459,0.4786
around eye ball,surface of eyeball,http://purl.obolibrary.org/obo/UBERON_0022288,0.8052
around eye,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.7786
around heart,heart,http://purl.obolibrary.org/obo/UBERON_0000948,0.7244
around intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8389
arterial circulation,blood circulation,http://purl.obolibrary.org/obo/GO_0008015,0.8553
arterial lesion,arterial blood vessel,http://purl.obolibrary.org/obo/UBERON_0003509,0.6768
arteries,artery,http://purl.obolibrary.org/obo/UBERON_0001637,0.9349
artery,artery,http://purl.obolibrary.org/obo/UBERON_0001637,1
ascend colon,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,
ascend & desc colon,colon,http://purl.obolibrary.org/obo/UBERON_0001155,
ascend & descend colon,colon,http://purl.obolibrary.org/obo/UBERON_0001155,
atria,Atherinomorphae,http://purl.obolibrary.org/obo/NCBITaxon_1489913,0.5966
at soil level),soil,http://purl.obolibrary.org/obo/ENVO_00001998,0.6722
attached,attached to,http://purl.obolibrary.org/obo/PATO_0001667,0.8711
autopsy fluids,bodily fluid,http://purl.obolibrary.org/obo/UBERON_0006314,0.6476
axial musculature,axial musculature,http://purl.obolibrary.org/obo/UBERON_0013700,1
axillary lymph node,axillary lymph node,http://purl.obolibrary.org/obo/UBERON_0001097,1
ax. lymph node,axillary lymph node,http://purl.obolibrary.org/obo/UBERON_0001097,0.8377
back and rib muscles,muscle of back,http://purl.obolibrary.org/obo/UBERON_0002324,0.7826
back,back,http://purl.obolibrary.org/obo/PATO_0001901,1
back muscle connective tissue,back connective tissue,http://purl.obolibrary.org/obo/UBERON_0004267,0.9251
back muscle connective tissues,back connective tissue,http://purl.obolibrary.org/obo/UBERON_0004267,0.8805
back muscle,muscle of back,http://purl.obolibrary.org/obo/UBERON_0002324,0.9582
back muscles,muscle of back,http://purl.obolibrary.org/obo/UBERON_0002324,0.9227
back of retina,retina,http://purl.obolibrary.org/obo/UBERON_0000966,0.8541
back of tongue,tongue,http://purl.obolibrary.org/obo/UBERON_0001723,0.756
back tissues,back connective tissue,http://purl.obolibrary.org/obo/UBERON_0004267,0.8309
Bark,bark,http://purl.obolibrary.org/obo/PO_0004518,1
bark,bark,http://purl.obolibrary.org/obo/PO_0004518,matched
basal viscera,abdominal viscera,http://purl.obolibrary.org/obo/UBERON_0017672,0.7395
base),base,http://purl.obolibrary.org/obo/CHEBI_22695,0.8217
Base,base,http://purl.obolibrary.org/obo/CHEBI_22695,1
base dorsal fin,dorsal fin,http://purl.obolibrary.org/obo/UBERON_0003097,0.867
base of aorta,section of aorta,http://purl.obolibrary.org/obo/UBERON_0005800,0.7282
base of),base,http://purl.obolibrary.org/obo/CHEBI_22695,0.7888
base of fin at anus,pectoral fin base,http://purl.obolibrary.org/obo/UBERON_4300147,0.72
base of pelvic fin,pelvic fin,http://purl.obolibrary.org/obo/UBERON_0000152,0.7844
base of tail,tail base gland,http://purl.obolibrary.org/obo/UBERON_3010202,0.7424
base of tongue,surface of tongue,http://purl.obolibrary.org/obo/UBERON_0007367,0.7555
base of trachea near bladder,epithelium of trachea,http://purl.obolibrary.org/obo/UBERON_0001901,0.6888
beak,beak,http://purl.obolibrary.org/obo/UBERON_0005094,1
beef steak,steakhouse,http://purl.obolibrary.org/obo/ENVO_03501227,0.77
behind eye,left eye,http://purl.obolibrary.org/obo/UBERON_0004548,0.6687
behind eyes,eye,http://purl.obolibrary.org/obo/UBERON_0000970,0.6341
behind low end third arch,3rd arch endoderm,http://purl.obolibrary.org/obo/UBERON_0005665,0.6347
belly,muscle belly,http://purl.obolibrary.org/obo/UBERON_0010938,0.8538
below dorsal fin,dorsal fin,http://purl.obolibrary.org/obo/UBERON_0003097,0.8837
Beneath bark of branches,branch node,http://purl.obolibrary.org/obo/PO_0025024,0.5914
beneath scales lateral line,lateral line scale,http://purl.obolibrary.org/obo/UBERON_2001824,0.8558
beneath scales,scale,http://purl.obolibrary.org/obo/UBERON_0002542,0.6964
beneath skin of nose,nose skin,http://purl.obolibrary.org/obo/UBERON_0015476,0.745
beneath skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.66
beneath tongue,tongue,http://purl.obolibrary.org/obo/UBERON_0001723,0.7112
between crop & gizzard,crop,http://purl.obolibrary.org/obo/UBERON_0007356,0.6754
between esophagus,esophagus,http://purl.obolibrary.org/obo/UBERON_0001043,0.8249
between esophagus & gill arch,pharyngeal arch derived gill,http://purl.obolibrary.org/obo/UBERON_0011150,0.6945
between fin rays,dorsal fin ray,http://purl.obolibrary.org/obo/UBERON_4300116,0.7466
between shell & mantle,mantle,http://purl.obolibrary.org/obo/UBERON_0006575,0.7348
between shoulder blades,shoulder,http://purl.obolibrary.org/obo/UBERON_0001467,0.685
between skin and flesh,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.7587
between skin & inguinal muscle,inguinal region skin,http://purl.obolibrary.org/obo/UBERON_8410021,0.7112
between skin & muscle,skin muscle,http://purl.obolibrary.org/obo/UBERON_0004253,0.8579
between skin & muscles,skin muscle,http://purl.obolibrary.org/obo/UBERON_0004253,0.8328
between skin,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.693
betw epicardium & myocardium,epicardium of ventricle,http://purl.obolibrary.org/obo/UBERON_0001082,0.7796
betw.gizzard and proventriculu,gizzard,http://purl.obolibrary.org/obo/UBERON_0005052,0.586
biceps jemaris & siatic nerve,arm nerve,http://purl.obolibrary.org/obo/UBERON_0003433,0.6321
bilaria canals,canal,http://purl.obolibrary.org/obo/PO_0025132,0.6878
bilary,biladienes,http://purl.obolibrary.org/obo/CHEBI_36735,0.5863
bilary canaliculi,Canalipalpata,http://purl.obolibrary.org/obo/NCBITaxon_105391,0.684
bile,bile,http://purl.obolibrary.org/obo/UBERON_0001970,1
bile duct,bile duct,http://purl.obolibrary.org/obo/UBERON_0002394,matched
bile ducts,bile duct,http://purl.obolibrary.org/obo/UBERON_0002394,matched
bile ducts of liver,bile duct,http://purl.obolibrary.org/obo/UBERON_0002394,0.8758
bile in gall bladder,gallbladder,http://purl.obolibrary.org/obo/UBERON_0002110,0.7736
bile organ,bile,http://purl.obolibrary.org/obo/UBERON_0001970,0.8284
biliary ducts,biliary ductule,http://purl.obolibrary.org/obo/UBERON_0004058,0.9097
biliary tract,biliary system,http://purl.obolibrary.org/obo/UBERON_0002294,0.817
bill,monotreme bill,http://purl.obolibrary.org/obo/UBERON_0018133,0.5677
bill mucosa,mucosa,http://purl.obolibrary.org/obo/UBERON_0000344,0.7935
bird cloaca,cloaca,http://purl.obolibrary.org/obo/UBERON_0000162,0.8421
bladder cysts,bladder cell,http://purl.obolibrary.org/obo/CL_1001319,0.712
bladder cyst,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255,0.6997
bladder mesentery,mesentery of urinary system,http://purl.obolibrary.org/obo/UBERON_0003393,0.7409
Bladder,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255,0.8736
bladder,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255,matched
bladder wall,wall of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001256,0.9307
blade),blade-like,http://purl.obolibrary.org/obo/PATO_0002235,0.6785
blind side of body,blind side,http://purl.obolibrary.org/obo/UBERON_2002256,0.7361
Blood,blood,http://purl.obolibrary.org/obo/UBERON_0000178,1
blood,blood,http://purl.obolibrary.org/obo/UBERON_0000178,matched
blood (brachial vein),brachial vein,http://purl.obolibrary.org/obo/UBERON_0001413,0.8971
blood cells,blood cell,http://purl.obolibrary.org/obo/CL_0000081,0.9621
blood (erythrocyte),erythrocyte,http://purl.obolibrary.org/obo/CL_0000232,0.8956
blood- face capillaries,capillary blood,http://purl.obolibrary.org/obo/UBERON_0013757,0.8327
Blood | Heart | Kidney | Liver | Lung | Muscle | Spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,0.5622
blood-juglar vein,jugular vein,http://purl.obolibrary.org/obo/UBERON_0004711,0.907
blood (jugular vein),jugular vein,http://purl.obolibrary.org/obo/UBERON_0004711,0.8918
blood-jugular vein,jugular vein,http://purl.obolibrary.org/obo/UBERON_0004711,0.949
blood | kidney | lungs | heart | liver,circulatory organ,http://purl.obolibrary.org/obo/UBERON_0015228,0.5483
Blood | Kidneys,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,0.7441
Blood | Lung | Kidney | Spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,0.6948
Blood | Lung,lung blood vessel,http://purl.obolibrary.org/obo/UBERON_0003512,0.7232
blood of liver & pancreas,body of pancreas,http://purl.obolibrary.org/obo/UBERON_0001150,0.6678
blood-rbc's,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.6609
blood- red cells,blood cell,http://purl.obolibrary.org/obo/CL_0000081,0.7815
Blood | Saliva | urine,saliva,http://purl.obolibrary.org/obo/UBERON_0001836,0.6561
Blood | Saliva | Urine,saliva,http://purl.obolibrary.org/obo/UBERON_0001836,0.6561
Blood samples,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.6278
blood sinuses,venous sinus,http://purl.obolibrary.org/obo/UBERON_0006615,0.6831
blood smear,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.6535
blood | spleen | liver | kidney | heart | lung,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,0.6098
Blood | Spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,0.8591
blood system,arterial system,http://purl.obolibrary.org/obo/UBERON_0004572,0.7123
Blood | Tissues,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.7234
Blood | Urine,urine,http://purl.obolibrary.org/obo/UBERON_0001088,0.779
blood vessel,blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,1
blood vessel-lung,lung blood vessel,http://purl.obolibrary.org/obo/UBERON_0003512,0.958
blood vessel of gut,abdomen blood vessel,http://purl.obolibrary.org/obo/UBERON_0003497,0.798
blood vessels,blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,0.9084
blood vessels- lungs,lung blood vessel,http://purl.obolibrary.org/obo/UBERON_0003512,0.8814
blood vessels of liver & lung,liver blood vessel,http://purl.obolibrary.org/obo/UBERON_0015796,0.812
blood vessels of lung,lung blood vessel,http://purl.obolibrary.org/obo/UBERON_0003512,0.9196
blood vessel (ventral),blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,0.794
blood wash,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.672
blow hole,blowhole,http://purl.obolibrary.org/obo/UBERON_0013477,0.8956
blown from blow hole,blowhole,http://purl.obolibrary.org/obo/UBERON_0013477,0.7813
blubber- anal region,blubber,http://purl.obolibrary.org/obo/UBERON_0009754,0.6951
blubber,blubber,http://purl.obolibrary.org/obo/UBERON_0009754,1
blubber - genital area,blubber,http://purl.obolibrary.org/obo/UBERON_0009754,0.7117
body betw. pectoral,pectoral muscle,http://purl.obolibrary.org/obo/UBERON_0001495,0.7612
body,body proper,http://purl.obolibrary.org/obo/UBERON_0013702,matched
body caity,Caiman,http://purl.obolibrary.org/obo/NCBITaxon_8497,0.644
body cav,calcaneal body,http://purl.obolibrary.org/obo/UBERON_7500093,0.6612
bodycav.fascial plane,fascia,http://purl.obolibrary.org/obo/UBERON_0008982,0.6788
body cavity (abdominal fluid),abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.817
body cavity attached to kidney,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,0.7595
body cavity cyst,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.6556
body cavity cysts,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.656
body cavity (cysts),abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.6866
body cavity (dorsal),dorsal organ,http://purl.obolibrary.org/obo/UBERON_2002133,0.7946
body cavity (encapsulated),organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,0.7257
body cavity (encysted),anatomical cavity,http://purl.obolibrary.org/obo/UBERON_0002553,0.7917
body cavity-gonad surface,anatomical cavity,http://purl.obolibrary.org/obo/UBERON_0002553,0.6463
body cavity liver,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,0.7779
body cavity mesentery,anatomical cavity,http://purl.obolibrary.org/obo/UBERON_0002553,0.6948
body cavity mesentery cysts,meso-epithelium,http://purl.obolibrary.org/obo/UBERON_0012275,0.585
body cavity near intestine,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.7876
body cavity near lung,thoracic cavity,http://purl.obolibrary.org/obo/UBERON_0002224,0.7372
body cavity near stomach,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.8605
body cavity or air sac,air sac,http://purl.obolibrary.org/obo/UBERON_0009060,0.7596
body cavity,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,matched
body cavity peritoneum,peritoneal cavity,http://purl.obolibrary.org/obo/UBERON_0001179,0.8884
body cavity stomach,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.8771
body cavity wall,body wall,http://purl.obolibrary.org/obo/UBERON_0000309,0.8024
body cavity wash,obsolete body cavity or lining,http://purl.obolibrary.org/obo/UBERON_0004458,0.5537
body cav. wash,calcaneal body,http://purl.obolibrary.org/obo/UBERON_7500093,0.5057
body- dorsal side,dorsal body wall,http://purl.obolibrary.org/obo/UBERON_0017649,0.7621
body dorsal surface,dorsal body wall,http://purl.obolibrary.org/obo/UBERON_0017649,0.8263
body fluids,bodily fluid,http://purl.obolibrary.org/obo/UBERON_0006314,0.871
body in gills,water body,http://purl.obolibrary.org/obo/ENVO_00000063,0.6707
body muscles,muscle of arm,http://purl.obolibrary.org/obo/UBERON_0001499,0.7579
body of fish,body of tongue,http://purl.obolibrary.org/obo/UBERON_0011876,0.6754
body organs,organ,http://purl.obolibrary.org/obo/UBERON_0000062,0.8221
body surface,anatomical surface,http://purl.obolibrary.org/obo/UBERON_0006984,matched
body tissues,tissue,http://purl.obolibrary.org/obo/UBERON_0000479,0.8371
body wall,body wall,http://purl.obolibrary.org/obo/UBERON_0000309,1
body wall cyst,cystic lymph node,http://purl.obolibrary.org/obo/UBERON_0015867,0.6076
body wall cysts,cystic lymph node,http://purl.obolibrary.org/obo/UBERON_0015867,0.5652
body wall (encysted),body wall,http://purl.obolibrary.org/obo/UBERON_0000309,0.8351
body wall muscles,obsolete muscle of body wall,http://purl.obolibrary.org/obo/UBERON_0003896,0.8075
body washings,detergent,http://purl.obolibrary.org/obo/CHEBI_27780,0.5527
body wash,skin of body,http://purl.obolibrary.org/obo/UBERON_0002097,0.5477
boiled egg,egg yolk,http://purl.obolibrary.org/obo/UBERON_0007378,0.6936
bone,arm bone,http://purl.obolibrary.org/obo/UBERON_0003460,0.8466
bones at base of fins,dorsal fin skeleton,http://purl.obolibrary.org/obo/UBERON_4000168,0.75
book lungs,lung,http://purl.obolibrary.org/obo/UBERON_0002048,0.7325
bowel,feces,http://purl.obolibrary.org/obo/UBERON_0001988,0.6942
bowel fluid at autopsy,peritoneal fluid,http://purl.obolibrary.org/obo/UBERON_0001268,0.5118
bowel lumen,stomach lumen,http://purl.obolibrary.org/obo/UBERON_0013525,0.7781
bowel serosa,serosa of colon,http://purl.obolibrary.org/obo/UBERON_0003335,0.8498
brachial artery,brachial artery,http://purl.obolibrary.org/obo/UBERON_0001398,1
brachiocephalic artery,brachiocephalic artery,http://purl.obolibrary.org/obo/UBERON_0001529,1
